koUniv,continent,country,city,forUniv_eng,forUniv_kor,TO,period,GPA,lang
숭실대,북미,미국,,The Florida State University,플로리다주립대,-,-,3,A-1
숭실대,북미,미국,,University of Guam,괌대,-,-,3,A-2
숭실대,북미,미국,,The University of Oklahoma,오클라호마대,-,-,3.5,A-1
숭실대,북미,미국,,Jacksonville State University,잭슨빌주립대,-,-,3.5,A-2
숭실대,북미,미국,,Emporia State University,엠포리아주립대,-,-,3.5,A-2
숭실대,북미,미국,,The University of South Dakota ,사우쓰다코타대,-,-,3,A-2
숭실대,유럽,영국,,University of Keele,킬대,-,-,3,A-2
숭실대,유럽,영국,,University of Central Lancashire,센트럴랭캐셔대,-,-,3.5,A-2
숭실대,북미,캐나다,,Concordia University,컨커디어대,-,-,3,A-1
숭실대,북미,캐나다,,"Université du Québec, Montréal","퀘백대, 몬트리올",-,-,3,D-1
숭실대,오세아니아,호주,,Charles Sturt University,찰스스터트대,-,-,3,A-2
숭실대,오세아니아,뉴질랜드,,Auckland University of Technology,오클랜드공대,-,-,3,A-2
숭실대,유럽,그리스,,Athens University of Economics and Business,아테네경제경영대,-,-,3,A-3
숭실대,유럽,네덜란드,,Fontys University of Applied Sciences ,폰티스대,-,-,3.5,A-2
숭실대,유럽,네덜란드,,Hanze University of Applied Sciences,한제대,-,-,3.5,A-2
숭실대,유럽,네덜란드,,Radboud University,라드바우드대,-,-,3.5,A-2
숭실대,유럽,네덜란드,,Saxion University of Applied Sciences,삭시온대,-,-,3,A-2
숭실대,유럽,네덜란드,,The Hague University of Applied Sciences,헤이그대,-,-,3,A-2
숭실대,유럽,네덜란드,,Tio University of Applied Sciences,티오대,-,-,3.5,A-2
숭실대,유럽,덴마크,,University College South Denmark,UCSD,-,-,3,A-2
숭실대,유럽,독일,,Augsburg University of Applied Sciences,아우크스부르크대,-,-,3,"A-3, E-2"
숭실대,유럽,독일,,"Baden-Wuerttemberg Cooperative State
University Heidenheim",DHBW,-,-,3,"A-3, E-2"
숭실대,유럽,독일,,Darmstadt University of Applied Sciences,다름슈타트대,-,-,3,A-3
숭실대,유럽,독일,,Dresden University of Applied Sciences,드레스덴대,-,-,3,"A-3, E-2"
숭실대,유럽,독일,,European University of Applied Sciences,EUFH,-,-,3.5,"A-3, E-2"
숭실대,유럽,독일,,TH Köln – University of Applied Sciences,쾰른대 ,-,-,3.5,A-2
숭실대,유럽,독일,,Furtwangen University of Applied Sciences,푸르트방겐대,-,-,3.5,A-2
숭실대,유럽,독일,,Heinrich Heine University Dusseldorf,하인리히 하이네 뒤셀도르프대,-,-,3,"A-3, E-2"
숭실대,유럽,독일,,Hof University of Applied Sciences,호프대,-,-,3,"A-3, E-1"
숭실대,유럽,독일,,Kaiserslautern University of Applied Sciences,카이저슬라우턴대,-,-,3.5,"TOEIC 850
TOEFL iBT 87
IELTS 6.0
TOEFL ITP 545"
숭실대,유럽,독일,,Regensburg University of Applied Sciences,레겐스부르크대,-,-,3,"A-3, E-2"
숭실대,유럽,독일,,University of Braunschweig of Technology,브라운슈바이크공대,-,-,3,"A-2, E-1 "
숭실대,유럽,독일,,Viadrina European University,비아드리나대,-,-,3,A-2
숭실대,유럽,독일,,Worms University of Applied Sciences,보름스대,-,-,3,"A-3, E-2"
숭실대,유럽,독일,,Alice Salomon University of Applied Sciences,알리스살로몬대,-,-,3,"A-3, E-2"
숭실대,유럽,독일,,Aachen University of Applied Sciences,아헨대,-,-,3.5,"A-3, E-2"
숭실대,유럽,독일,,Leuphana University of Luneburg,로이파나대,-,-,3.5,"A-3, E-2"
숭실대,유럽,독일,,Muenster University of Applied Sciences,뮌스터대,-,-,3.5,"A-3, E-2 *변동가능"
숭실대,유럽,라트비아,,BA School of Business and Finance,BA 경영경제대,-,-,3,A-4
숭실대,유럽,라트비아,,Liepaja University,리에파야대,-,-,3,A-4
숭실대,유럽,러시아,,Moscow State University ,모스크바대,-,-,3.5,A-2
숭실대,유럽,러시아,,Rostov State University of Economics,로스토프경제대,-,-,3,A-3
숭실대,유럽,러시아,,Ural Federal University,우랄연방대,-,-,3,A-4
숭실대,유럽,러시아,,University of Tyumen,튜멘대,-,-,3,A-4 *변동가능
숭실대,유럽,러시아,,(Banzarov) Buryat State University,부랴트 국립대,-,-,3,A-3
숭실대,유럽,러시아,,Moscow State Linguistic University,국립 모스크바 외국어 대학교,-,-,3,A-3
숭실대,유럽,루마니아,,Alexandru Ioan Cuza University,AICU,-,-,3.5,A-2
숭실대,유럽,루마니아,,Lucian Blaga University of Sibiu,LBUS,-,-,3.5,A-2 *변동가능
숭실대,유럽,리투아니아,,Vytautas Magnus University,비타우타스 매그너스대,-,-,3.5,A-3
숭실대,유럽,벨기에,,University of Mons,몽스대 ,-,-,3,D-2
숭실대,유럽,스웨덴,,Umeå University,우메오대,-,-,3,A-2
숭실대,유럽,스위스,,Geneva School of Business Administration,제네바비즈니스스쿨,-,-,3.5,A-2
숭실대,유럽,스페인,,Polytechnic University of Catalonia,카탈루니야대,-,-,3,"A-3, DELE B1"
숭실대,유럽,스페인,,Rey Juan Carlos University,레이후안카를로스대,-,-,3,"A-2, DELE B1"
숭실대,유럽,스페인,,University Center for Technology and Digital Art,U-tad,-,-,3,"A-3, DELE B1"
숭실대,유럽,스페인,,University of Alicante,알리칸테대,-,-,3,"A-3, DELE B1"
숭실대,유럽,스페인,,University of Barcelona,바르셀로나대학교,-,-,3,"A-2, DELE B1"
숭실대,유럽,스페인,,University of Cantabria ,칸타브리아대,-,-,3.5,DELE B1
숭실대,유럽,스페인,,University of A Coruña,아코루나대,-,-,3.5,"A-3, DELE B1"
숭실대,유럽,스페인,,University of Jaén,하엔대,-,-,3.5,"A-3, DELE B1"
숭실대,유럽,스페인,,University of Santiago de Compostela,산티아고콤포스텔라대,-,-,3,"A-3, DELE B1"
숭실대,유럽,스페인,,University of Seville,세비야대,-,-,3,"A-3, DELE C1"
숭실대,유럽,스페인,,University of Vigo ,비고대,-,-,3.5,"A-3, DELE B1"
숭실대,유럽,스페인,,University of Malaga,말라가대,-,-,3,"A-3, DELE B1"
숭실대,유럽,스페인,,Universitat Abat Oliba CEU,아바올리바CEU대,-,-,3,"A-3, DELE B1 *변동가능"
숭실대,유럽,아일랜드,,Dublin Institute of Technology,DIT,-,-,3," TOEFL iBT 70
IELTS 5.5"
숭실대,유럽,아제르바이잔,,Azerbaijan University of Languages,아제르바이잔외국어대,-,-,3,A-2
숭실대,유럽,아제르바이잔,,Khazar University,카자대,-,-,3,A-2
숭실대,유럽,아제르바이잔,,ADA University,아다대학,-,-,3.5,A-3
숭실대,유럽,에스토니아,,University of Tartu,타루트대,-,-,3.5,A-2
